Product Code (Products),Product Type
Prod098,"Own Brand"
Prod167,"Own Brand"
Prod168,"Own Brand"
Prod188,"Distribution"
Prod021,"Own Brand"
Prod039,"Own Brand"
Prod033,"Distribution"
Prod062,"Own Brand"
Prod148,"Own Brand"
Prod002,"Own Brand"
Prod023,"Distribution"
Prod230,"Own Brand"
Prod010,"Own Brand"
Prod161,"Distribution"
Prod066,"Distribution"
Prod181,"Own Brand"
Prod145,"Distribution"
Prod059,"Own Brand"
Prod009,"Own Brand"
Prod061,"Own Brand"
Prod234,"Distribution"
Prod060,"Own Brand"
Prod149,"Own Brand"
Prod103,"Own Brand"
Prod226,"Own Brand"
Prod184,"Own Brand"
Prod018,"Own Brand"
Prod225,"Own Brand"
Prod222,"Distribution"
Prod180,"Own Brand"
Prod081,"Own Brand"
Prod049,"Own Brand"
Prod166,"Own Brand"
Prod195,"Own Brand"
Prod051,"Own Brand"
Prod043,"Own Brand"
Prod165,"Own Brand"
Prod047,"Own Brand"
Prod041,"Own Brand"
Prod199,"Own Brand"
Prod093,"Own Brand"
Prod146,"Distribution"
Prod147,"Distribution"
Prod251,"Distribution"
Prod063,"Own Brand"
Prod017,"Own Brand"
Prod052,"Own Brand"
Prod204,"Distribution"
Prod151,"Own Brand"
Prod101,"Own Brand"
Prod082,"Own Brand"
Prod034,"Own Brand"
Prod193,"Own Brand"
Prod119,"Distribution"
Prod258,"Own Brand"
Prod198,"Own Brand"
Prod090,"Own Brand"
Prod176,"Distribution"
Prod182,"Own Brand"
Prod045,"Own Brand"
Prod032,"Distribution"
Prod141,"Own Brand"
Prod196,"Own Brand"
Prod236,"Distribution"
Prod247,"Own Brand"
Prod094,"Own Brand"
Prod240,"Own Brand"
Prod232,"Own Brand"
Prod241,"Own Brand"
Prod179,"Own Brand"
Prod248,"Distribution"
Prod136,"Own Brand"
Prod223,"Own Brand"
Prod249,"Distribution"
Prod231,"Own Brand"
Prod138,"Own Brand"
Prod268,"Own Brand"
Prod272,"Own Brand"
Prod111,"Distribution"
Prod259,"Own Brand"
Prod235,"Distribution"
Prod076,"Distribution"
Prod277,"Own Brand"
Prod160,"Distribution"
Prod169,"Own Brand"
Prod191,"Distribution"
Prod037,"Own Brand"
Prod050,"Own Brand"
Prod088,"Own Brand"
Prod256,"Own Brand"
Prod022,"Distribution"
Prod201,"Own Brand"
Prod224,"Own Brand"
Prod109,"Own Brand"
Prod084,"Own Brand"
Prod085,"Own Brand"
Prod228,"Own Brand"
Prod067,"Distribution"
Prod068,"Distribution"
Prod077,"Distribution"
Prod092,"Own Brand"
Prod253,"Own Brand"
Prod026,"Distribution"
Prod150,"Own Brand"
Prod132,"Distribution"
Prod211,"Own Brand"
Prod217,"Own Brand"
Prod083,"Own Brand"
Prod001,"Own Brand"
Prod197,"Own Brand"
Prod107,"Own Brand"
Prod130,"Distribution"
Prod036,"Own Brand"
Prod012,"Own Brand"
Prod171,"Own Brand"
Prod112,"Distribution"
Prod096,"Own Brand"
Prod097,"Own Brand"
Prod257,"Own Brand"
Prod202,"Own Brand"
Prod245,"Own Brand"
Prod108,"Own Brand"
Prod163,"Own Brand"
Prod086,"Own Brand"
Prod008,"Own Brand"
Prod183,"Own Brand"
Prod203,"Distribution"
Prod080,"Own Brand"
Prod186,"Own Brand"
Prod173,"Distribution"
Prod200,"Own Brand"
Prod028,"Distribution"
Prod015,"Own Brand"
Prod087,"Own Brand"
Prod078,"Own Brand"
Prod007,"Own Brand"
Prod153,"Own Brand"
Prod155,"Own Brand"
Prod190,"Distribution"
Prod125,"Own Brand"
Prod031,"Distribution"
Prod029,"Distribution"
Prod189,"Distribution"
Prod003,"Own Brand"
Prod071,"Distribution"
Prod143,"Distribution"
Prod142,"Own Brand"
Prod144,"Distribution"
Prod073,"Distribution"
